Year,PropertyType,ZipCode,TotalYearlyEnergyUsage
2016,Food Service,02121,2981038.0
2016,Hospital (General Medical & Surgical),02111,316523998.4
2016,Hospital (General Medical & Surgical),02114,1024728868.0
2016,Hospital (General Medical & Surgical),02115,887368124.2
2016,Hospital (General Medical & Surgical),02118,530698311.4
2016,Hospital (General Medical & Surgical),02120,123982564.5
2016,Hospital (General Medical & Surgical),02124,103588915.8
2016,Hospital (General Medical & Surgical),02129,66550692.0
2016,Hospital (General Medical & Surgical),02130,115203157.2
2016,Hospital (General Medical & Surgical),02131,75163694.5
2016,Hospital (General Medical & Surgical),02132,6419933.3
2016,Hospital (General Medical & Surgical),02135,140182156.1
2016,Hospital (General Medical & Surgical),02215,808281515.8
2016,Hospital (General Medical & Surgical),12109,7190499.0
2016,Hotel,02108,19683886056.5
2016,Hotel,02109,55442514.900000006
2016,Hotel,02110,3618503057.9
2016,Hotel,02111,48887692.099999994
2016,Hotel,02114,71344506.7
2016,Hotel,02115,35351571.5
2016,Hotel,02116,21914871217.2
2016,Hotel,02122,9762101.8
2016,Hotel,02125,16493453.0
2016,Hotel,02128,21839798.0
2016,Hotel,02129,16537849.2
2016,Hotel,02134,16748451.9
2016,Hotel,02199,228658608.3
2016,Hotel,02210,132415330.30000001
2016,Hotel,02215,35192681.9
2016,Ice/Curling Rink,02134,15164084.6
2016,Indoor Arena,02114,79882210.0
2016,Indoor Arena,02134,10833131.100000001
2016,Indoor Arena,02215,67129516.9
2016,K-12 School,02111,15147640.0
2016,K-12 School,02113,1881221.9
2016,K-12 School,02115,26149616.4
2016,K-12 School,02116,10371356.8
2016,K-12 School,02118,24591260.0
2016,K-12 School,02119,42881779.399999991
2016,K-12 School,02120,78277024.7
2016,K-12 School,02121,62549498.4
2016,K-12 School,02122,59276184.9
2016,K-12 School,02124,54066144.699999996
2016,K-12 School,02125,31540853.9
2016,K-12 School,02126,21893990.200000003
2016,K-12 School,02127,49944614.2
2016,K-12 School,02128,54517793.7
2016,K-12 School,02129,41435494.8
2016,K-12 School,02130,81550399.999999985
2016,K-12 School,02131,20720201.7
2016,K-12 School,02132,62725660.4
2016,K-12 School,02134,36366223.0
2016,K-12 School,02135,31191271.300000004
2016,K-12 School,02136,33003078.5
2016,K-12 School,02215,10967572.7
2016,Laboratory,02111,159899588.39999998
2016,Laboratory,02114,38507570.9
2016,Laboratory,02115,1157174741.8000002
2016,Laboratory,02118,347419108.70000005
2016,Laboratory,02129,18243181.7
2016,Laboratory,02210,
2016,Laboratory,02215,396605987.40000004
2016,Library,02113,851553.1
2016,Library,02114,437040.9
2016,Library,02115,35065550.1
2016,Library,02116,63860742.6
2016,Library,02118,606404.2
2016,Library,02119,606196.1
2016,Library,02120,1264370.9
2016,Library,02122,1092816.2
2016,Library,02124,2858797.9000000004
2016,Library,02126,3492234.5
2016,Library,02127,831187.4
2016,Library,02128,1662145.2
2016,Library,02129,1711202.1
2016,Library,02130,1748474.0
2016,Library,02131,988412.5
2016,Library,02132,1401134.3
2016,Library,02134,3049347.8
2016,Library,02135,2672949.2
2016,Library,02163,12964392.4
2016,Library,02215,29226603.3
2016,Manufacturing/Industrial Plant,02118,26436930.8
2016,Manufacturing/Industrial Plant,02119,2388149.8
2016,Manufacturing/Industrial Plant,02122,
2016,Manufacturing/Industrial Plant,02125,19469247.0
2016,Manufacturing/Industrial Plant,02127,1044445718.0
2016,Manufacturing/Industrial Plant,02128,4011633.3
2016,Manufacturing/Industrial Plant,02129,6679083.6
2016,Manufacturing/Industrial Plant,02135,5114723.1
2016,Medical Office,02111,13617912.5
2016,Medical Office,02114,156623267.70000002
2016,Medical Office,02115,8255294.7
2016,Medical Office,02116,22409491890.0
2016,Medical Office,02118,59885966.5
2016,Medical Office,02127,4988744.2
2016,Medical Office,02129,237896501.5
2016,Medical Office,02135,22436870.2
2016,Medical Office,02215,196627627.29999998
2016,Medical Office,02467,7971041.9
2016,Mental Health Center,02114,28368090.0
2016,Mixed Use Property,02108,2847096466.0
2016,Mixed Use Property,02109,52328094.2
2016,Mixed Use Property,02111,98470982.6
2016,Mixed Use Property,02114,28904628.5
2016,Mixed Use Property,02115,11646893.2
